id|isDemo|region|name
01005BA00BEE6000|1|US|TRIVIAL PURSUIT® Live!
01005BA011EDE000|1|JP|OZMAFIA!!-vivace-
01005BE008674000|1|US|IMPLOSION
01005C1016328000|1|US|Hampuzz
01005C201074E000|1|JP|BUSTAFELLOWS
01005C7011DA2000|1|US|Princess Closet
01005D401363E000|1|JP|ボクらの放課後あそび
01005D8017CB2000|1|US|Sam & Max: Beyond Time and Space
01005E200E6FE000|1|US|Super Kickers League Ultimate
01005E300F0C2000|1|JP|MISTOVER
01005E901305E000|1|JP|KINGDOM HEARTS Melody of Memory
01005EB012FE2000|1|JP|ワガママハイスペック
01005EE013888000|1|JP|魔界戦記ディスガイア６
01005F1011640000|1|JP|ペルソナ５ スクランブル ザ ファントム ストライカーズ
01005FB011B34000|1|JP|海腹川背 BaZooKa!
01005FF013CF6000|1|JP|恋愛、借りちゃいました
0100603011B2E000|1|KR|오니가 우는 나라
010060700D24C000|1|US|Cafeteria Nipponica
01006080144E2000|1|GB|Thief's Shelter
010060C00B0AA000|1|US|Mario Tennis Aces: Online Tournament Demo
010060C00E280000|1|US|Professor Lupo and his Horrible Pets
010060D0123CA000|1|JP|シャドウバース チャンピオンズバトル
010061E014F66000|1|JP|剣が君 for S
010062200CF14000|1|US|Cinderella - An Interactive Fairytale
010062600D236000|1|US|The Path of Motus
010062A016578000|1|US|Ice Station Z
010062F00CAE2000|1|US|Art of Balance
0100631008244000|1|GB|Pixel Action Heroes
0100634011250000|1|US|Overdriven Reloaded: Special Edition
010063800FCDC000|1|US|Jet Kave Adventure
0100639014BEA000|1|US|Timelie
0100641013A0C000|1|US|Werewolf: The Apocalypse — Heart of the Forest
0100641015EFA000|1|JP|カニノケンカ -Fight Crab-
0100644008454000|1|US|Slime-san
010064400EDE2000|1|JP|開園ピクセル牧場
010064500AF72000|1|US|Aegis Defenders
01006450137C8000|1|JP|キャプテン翼 RISE OF NEW CHAMPIONS
010064A01335E000|1|GB|Gravity Heroes
010064E013746000|1|US|When the Past was Around
01006500123DE000|1|US|The Almost Gone
0100653015272000|1|US|Throw it! Animal Park
010065601474C000|1|JP|少女首領の推理領域 -黄金島の密約-
0100656014AF2000|1|JP|トリッキーS
0100656017246000|1|GB|Salaryman Shi
010065700EE06000|1|US|Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda
010065900CB3A000|1|US|Katamari Damacy REROLL
010065901604C000|1|US|Sky Racket
010065A017328000|1|JP|Conan Chop Chop
010065D00E2FE000|1|JP|絶体絶命都市４Plus -Summer Memories- for Nintendo Switch
01006600151F4000|1|JP|怪盗ロビーと忘れられた神殿
